type,entry_time,entry_price,sl,tp,lots,spread,profit,exit_time,exit_price,reason,commission
BUY,2025-02-10 09:00:00+00:00,2923.8000503352814,2910.3800308040313,2950.6400893977816,7.535781588516253e-05,0.0,202.26067220224593,2025-02-11 01:00:00+00:00,2950.6400893977816,TAKE_PROFIT,0.0
SELL,2025-02-25 13:00:00+00:00,2942.19994998484,2959.5798816254646,2907.4400867035897,5.9351754055250865e-05,0.0,-103.15294282314369,2025-02-25 14:00:00+00:00,2959.5798816254646,STOP_LOSS,0.0
SELL,2025-02-25 16:00:00+00:00,2918.100096962489,2947.540038368739,2859.220214149989,3.468804913220149e-05,0.0,-54.460070168838676,2025-02-27 00:00:00+00:00,2933.800048828125,SIGNAL_EXIT,0.0
SELL,2025-02-27 07:00:00+00:00,2906.1999497452284,2920.4398911514786,2877.7200669327285,7.133232489892284e-05,0.0,203.1536253864492,2025-02-28 03:00:00+00:00,2877.7200669327285,TAKE_PROFIT,0.0
SELL,2025-02-28 07:00:00+00:00,2875.100096308944,2890.4801744339443,2844.339940058944,6.736529431451729e-05,0.0,207.21669789417822,2025-02-28 15:00:00+00:00,2844.339940058944,TAKE_PROFIT,0.0
SELL,2025-02-28 16:00:00+00:00,2861.800047833016,2883.040038067391,2819.320067364266,4.975544468706811e-05,0.0,-105.6805159260312,2025-03-02 23:00:00+00:00,2883.040038067391,STOP_LOSS,0.0
SELL,2025-03-06 14:00:00+00:00,2912.399901327986,2932.9999013279858,2871.199901327986,5.078820911008296e-05,0.0,-47.23328762056368,2025-03-06 20:00:00+00:00,2921.699951171875,SIGNAL_EXIT,0.0
SELL,2025-03-10 09:00:00+00:00,2904.399901067383,2920.719871770508,2871.759959661133,6.381836082010981e-05,0.0,-79.77295917070306,2025-03-11 10:00:00+00:00,2916.89990234375,SIGNAL_EXIT,0.0
SELL,2025-03-25 08:00:00+00:00,3015.4999981931087,3026.9399395993587,2992.6201153806087,9.03445608929368e-05,0.0,-103.35364829885822,2025-03-25 09:00:00+00:00,3026.9399395993587,STOP_LOSS,0.0
SELL,2025-04-04 13:00:00+00:00,3090.1999509204743,3171.599902092349,2927.400048576724,1.2570045846811624e-05,0.0,42.486816023388435,2025-04-04 15:00:00+00:00,3056.39990234375,SIGNAL_EXIT,0.0
SELL,2025-04-04 16:00:00+00:00,3040.399902128532,3135.8798337691574,2849.4400388472823,1.0760897940608432e-05,0.0,20.01511230759705,2025-04-08 10:00:00+00:00,3021.800048828125,SIGNAL_EXIT,0.0
SELL,2025-04-08 20:00:00+00:00,2998.899901961196,3052.719823836196,2891.260058211196,1.9127699839155426e-05,0.0,-102.94513109917968,2025-04-09 06:00:00+00:00,3052.719823836196,STOP_LOSS,0.0
BUY,2025-04-16 07:00:00+00:00,3308.3999031060216,3281.6599128716466,3361.8798835747716,3.8113581528976136e-05,0.0,203.83135957637543,2025-04-16 22:00:00+00:00,3361.8798835747716,TAKE_PROFIT,0.0
BUY,2025-04-21 08:00:00+00:00,3397.000000882463,3373.4400399449632,3444.119922757463,4.412316033108935e-05,0.0,207.90798676790212,2025-04-21 22:00:00+00:00,3444.119922757463,TAKE_PROFIT,0.0
SELL,2025-04-23 14:00:00+00:00,3287.800048439725,3342.3999507834747,3178.6002437522247,1.942001152017958e-05,0.0,-106.03307325163014,2025-04-24 00:00:00+00:00,3342.3999507834747,STOP_LOSS,0.0
SELL,2025-04-25 11:00:00+00:00,3307.9999994222744,3344.3399896566493,3235.3200189535246,2.8886288037528857e-05,0.0,-104.97274251911395,2025-04-27 22:00:00+00:00,3344.3399896566493,STOP_LOSS,0.0
SELL,2025-04-28 07:00:00+00:00,3294.6999506143484,3331.9799799112234,3220.1398920205984,2.787632334361776e-05,0.0,-103.92301509392306,2025-04-28 14:00:00+00:00,3331.9799799112234,STOP_LOSS,0.0
SELL,2025-04-30 09:00:00+00:00,3293.6999503271827,3318.060008920933,3244.979833139683,4.22346212949506e-05,0.0,-102.88378494298459,2025-04-30 13:00:00+00:00,3318.060008920933,STOP_LOSS,0.0
SELL,2025-05-01 07:00:00+00:00,3243.800048226502,3277.660106820252,3176.079931039002,3.0081149095339934e-05,0.0,-40.60955308846007,2025-05-02 03:00:00+00:00,3257.300048828125,SIGNAL_EXIT,0.0
SELL,2025-05-08 17:00:00+00:00,3315.499999381787,3348.320018913037,3249.859960319287,3.0910661544876165e-05,0.0,-70.78511498677489,2025-05-09 13:00:00+00:00,3338.39990234375,SIGNAL_EXIT,0.0
SELL,2025-05-12 07:00:00+00:00,3280.800048443911,3333.2400386782856,3175.9200679751607,1.921072066614627e-05,0.0,41.30304869411128,2025-05-13 09:00:00+00:00,3259.300048828125,SIGNAL_EXIT,0.0
SELL,2025-05-13 17:00:00+00:00,3255.399901526674,3280.159911292299,3205.879881995424,4.085379281238317e-05,0.0,8.578694708304687,2025-05-13 20:00:00+00:00,3253.300048828125,SIGNAL_EXIT,0.0
SELL,2025-05-14 07:00:00+00:00,3232.199950199349,3253.019920902474,3190.5600087930993,4.862630178035269e-05,0.0,202.47963569365075,2025-05-14 12:00:00+00:00,3190.5600087930993,TAKE_PROFIT,0.0
SELL,2025-05-14 13:00:00+00:00,3188.600096995992,3219.8801751209917,3126.0399407459918,3.301290162738758e-05,0.0,206.52922840752493,2025-05-15 06:00:00+00:00,3126.0399407459918,TAKE_PROFIT,0.0
SELL,2025-05-15 07:00:00+00:00,3153.1999505511935,3187.1400384418184,3085.3197747699437,3.1034070043446176e-05,0.0,-87.51592791520032,2025-05-15 11:00:00+00:00,3181.39990234375,SIGNAL_EXIT,0.0
SELL,2025-05-16 16:00:00+00:00,3186.6000971238623,3225.8401850144874,3108.119921342612,2.6619396852482913e-05,0.0,-104.45474720868584,2025-05-18 22:00:00+00:00,3225.8401850144874,STOP_LOSS,0.0
SELL,2025-05-29 07:00:00+00:00,3268.6999505986482,3304.7799798955234,3196.5398920048983,2.866134029041806e-05,0.0,-103.41019973659927,2025-05-29 08:00:00+00:00,3304.7799798955234,STOP_LOSS,0.0
BUY,2025-06-02 08:00:00+00:00,3377.1999520644345,3354.2600594863093,3423.0797372206844,4.462797608601551e-05,0.0,19.19024364371395,2025-06-03 10:00:00+00:00,3381.5,SIGNAL_EXIT,0.0
SELL,2025-06-06 15:00:00+00:00,3348.699950435037,3376.539989497537,3293.019872310037,3.68419023929557e-05,0.0,-36.10524695184965,2025-06-09 17:00:00+00:00,3358.5,SIGNAL_EXIT,0.0
SELL,2025-06-10 07:00:00+00:00,3345.1000967501527,3367.6599112032777,3299.9804678439027,4.5304870710935134e-05,0.0,-50.28774694863297,2025-06-10 11:00:00+00:00,3356.199951171875,SIGNAL_EXIT,0.0
